 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 2.04792003631592E+0001  7.21123729405972E-0002  2.21003649958903E+0002  7.21123729405972E-0002  2.21003649958903E+0002  7.21123729405972E-0002  2.21003649958903E+0002
 2.21175994873047E+0001  6.46892198593521E-0002  1.95602607760518E+0002  6.46892198593521E-0002  1.95602607760518E+0002  6.46892198593521E-0002  1.95602607760518E+0002
 2.37560005187988E+0001  5.80384929557948E-0002  1.83711626711700E+0002  5.80384929557948E-0002  1.83711626711700E+0002  5.80384929557948E-0002  1.83711626711700E+0002
 2.53943996429443E+0001  5.24178626584966E-0002  2.00835733877524E+0002  5.24178626584966E-0002  2.00835733877524E+0002  5.24178626584966E-0002  2.00835733877524E+0002
 2.78519992828369E+0001  4.63819173433735E-0002  2.81210022281050E+0002  4.63819173433735E-0002  2.81210022281050E+0002  4.63819173433735E-0002  2.81210022281050E+0002
 3.11287994384766E+0001  3.71193172259439E-0002  3.65185306761756E+0002  3.71193172259439E-0002  3.65185306761756E+0002  3.71193172259439E-0002  3.65185306761756E+0002
 3.44056015014648E+0001  3.64088658901812E-0002  3.09773336751846E+0002  3.64088658901812E-0002  3.09773336751846E+0002  3.64088658901812E-0002  3.09773336751846E+0002
 3.76823997497559E+0001  3.15803386215645E-0002  2.60517501796849E+0002  3.15803386215645E-0002  2.60517501796849E+0002  3.15803386215645E-0002  2.60517501796849E+0002
 4.09592018127441E+0001  2.78033728467055E-0002  1.80600882704183E+0002  2.78033728467055E-0002  1.80600882704183E+0002  2.78033728467055E-0002  1.80600882704183E+0002
 4.42360000610352E+0001  2.32817314325267E-0002  1.58665144559008E+0002  2.32817314325267E-0002  1.58665144559008E+0002  2.32817314325267E-0002  1.58665144559008E+0002
 4.75127983093262E+0001  2.36164446384208E-0002  1.72121797436154E+0002  2.36164446384208E-0002  1.72121797436154E+0002  2.36164446384208E-0002  1.72121797436154E+0002
 5.07896003723145E+0001  2.00997302001894E-0002  1.52735463358951E+0002  2.00997302001894E-0002  1.52735463358951E+0002  2.00997302001894E-0002  1.52735463358951E+0002
 5.57047996520996E+0001  1.90159266474754E-0002  1.44851422570292E+0002  1.90159266474754E-0002  1.44851422570292E+0002  1.90159266474754E-0002  1.44851422570292E+0002
 6.22583999633789E+0001  1.78824888566636E-0002  1.60621439309332E+0002  1.78824888566636E-0002  1.60621439309332E+0002  1.78824888566636E-0002  1.60621439309332E+0002
